央视,#genre#
CCTV-1综合 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FOznEw5ACTSrHMBvUwWYju8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-1综合,http://122.96.52.98:8006/JS_CUCC/G_CCTV-1.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVxE1yMR1PD6hRd4HymZMej8ArpgYCdV%2FbHkUIh2kB%2Bak&p=GITV&area=JS_CUCC
CCTV-2财经 超清-GITV,http://122.96.52.98:8006/JS_CUCC/G_CCTV-2-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV5yCQsaHUJaH%2Fxn9vdjuQli8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-2财经,http://122.96.52.98:8006/JS_CUCC/G_CCTV-2-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4hWMLfC5vcijgp5T%2Fo43UvR%2BJIxZi2YynakHt%2BNxEqV&p=GITV&area=JS_CUCC
CCTV-3综艺 超清-8M,http://122.96.52.98:8006/JS_CUCC/G_CCTV-3-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVwchOIAHIvnq%2BUcSrHG%2FCye8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-3综艺 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-3-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7woyFytadIs%2B5rWgXddGEDR%2BJIxZi2YynakHt%2BNxEqV&p=GITV&area=JS_CUCC
CCTV-3综艺,http://122.96.52.98:8006/JS_CUCC/CCTV-3.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7KrjstI9OsTJZtXu2khXGTEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-4中文国际 超清-8M,http://122.96.52.98:8006/JS_CUCC/G_CCTV-4-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6fSvTmPikYsXuEeachy%2Fd28I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-4中文国际 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-4-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV0nCneYyKaSEbEiYQYbIPK3R%2BJIxZi2YynakHt%2BNxEqV&p=GITV&area=JS_CUCC
CCTV-4中文国际,http://122.96.52.98:8006/JS_CUCC/CCTV-4.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV0s7X2LdRxFDmB6cnFaA%2FJfEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-5体育 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9%2Fu2FVgVtXRk1jXotyt%2Bkq8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-5体育,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzjoRey8n2lhzqrT2SApC0rR%2BJIxZi2YynakHt%2BNxEqV&p=GITV&area=JS_CUCC
CCTV-5+体育赛事 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5PLUS-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV54x3ZVhpAE%2BHYVoOre4Tuv2YTeVPNc48FsGWUrcYIbw&p=GITV&area=JS_CUCC
CCTV-5+体育赛事 高清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5PLUS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2F0N%2BqTIibDFByatD2ZavuHESAoroqycdKYyrhsGM6Dv&p=GITV&area=JS_CUCC
CCTV-6电影 超清-8M,http://122.96.52.98:8006/JS_CUCC/G_CCTV-6-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzPE9nstNyiWL3R1FohH0lW8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-6电影 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-6-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8L5FELRXAQvkBNh3i8Wc6bR%2BJIxZi2YynakHt%2BNxEqV&p=GITV&area=JS_CUCC
CCTV-6电影,http://122.96.52.98:8006/JS_CUCC/CCTV-6.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8STsHVCZIWN2uj8S0qIYLjEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-7国防军事 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-7-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6SLOZAqy5j4rGefgzhnJTS7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC
CCTV-7国防军事,http://122.96.52.98:8006/JS_CUCC/CCTV-7.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV3FAP1fy2wDD6u6oVqoIPlLEl4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
CCTV-8电视剧 超清-8M,http://122.96.52.98:8006/JS_CUCC/G_CCTV-8-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7%2BVG%2BHLqkdbzdVfeRZfJ5a7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC
CCTV-8电视剧 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-8-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV40xqDkWNg13PJ44Yzsd5DLR%2BJIxZi2YynakHt%2BNxEqV&p=GITV&area=JS_CUCC
CCTV-9记录 超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-9-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FoClBBVlgoZCK8N6M6JqtG7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC
CCTV-9记录,http://122.96.52.98:8006/JS_CUCC/G_CCTV-9.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9A%2BP3kQJwl2Q9vMpGRMv3QArpgYCdV%2FbHkUIh2kB%2Bak&p=GITV&area=JS_CUCC
